invoice_and_item_number,date,store_number,store_name,address,city,zip_code,store_location,county_number,county,vendor_number,vendor_name,item_number,item_description,pack,bottle_volume_ml,state_bottle_cost,state_bottle_retail,bottles_sold,sale_dollars,volume_sold_liters,volume_sold_gallons,category_code,category_name,,month
INV-67338700010,15/02/2024,4941,KUM & GO #170 / URBANDALE,6990 DOUGLAS AVE,URBANDALE,50322,POINT(-93.711711119 41.629104797),,POLK,65,JIM BEAM BRANDS,19061,JIM BEAM MINI,12,50,7,10.5,1,10.5,0.05,0.01,1011200,STRAIGHT BOURBON WHISKIES,,22024
INV-67274200024,14/02/2024,2642,HY-VEE WINE AND SPIRITS / PELLA,512 E OSKALOOSA,PELLA,50219,POINT(-92.899561027 41.397395004),,MARION,65,JIM BEAM BRANDS,19061,JIM BEAM MINI,12,50,7,10.5,1,10.5,0.05,0.01,1011200,STRAIGHT BOURBON WHISKIES,,22024
INV-67561800005,22/02/2024,4300,FAREWAY STORES #625 / OSKALOOSA,311  3RD AVE W,OSKALOOSA,52577,POINT(-92.648361005 41.292980002),,MAHASKA,65,JIM BEAM BRANDS,19061,JIM BEAM MINI,12,50,7,10.5,1,10.5,0.05,0.01,1011200,STRAIGHT BOURBON WHISKIES,,22024
INV-67621100011,23/02/2024,10051,KWIK STAR #1172 / MARION,3055 7TH AVE.,MARION,52302,POINT(-91.58008996 42.033046019),,LINN,65,JIM BEAM BRANDS,27780,JIM BEAM APPLE MINI,12,50,7,10.5,1,10.5,0.05,0.01,1011200,STRAIGHT BOURBON WHISKIES,,22024
INV-67276900010,14/02/2024,4743,FAMILY FARE #791,1801 VALLEY VIEW DR,COUNCIL BLUFFS,51503,POINT(-95.817503024 41.244001985),,POTTAWATTAMIE,65,JIM BEAM BRANDS,28275,JIM BEAM PEACH MINI,12,50,7,10.5,1,10.5,0.05,0.01,1011200,STRAIGHT BOURBON WHISKIES,,22024
INV-37933700107,29/06/2021,4152,FOOD LAND SUPER MARKETS,407 W HURON,MISSOURI VALLEY,51555,POINT(-95.899346 41.557404),43,HARRISON,65,JIM BEAM BRANDS,19061,JIM BEAM MINI,12,50,5.4,8.1,1,8.1,0.05,0.01,1011200,STRAIGHT BOURBON WHISKIES,,62021
INV-37798300001,25/06/2021,2515,HY-VEE FOOD STORE #1 / MASON CITY,2400 4TH ST SW,MASON CITY,50401,POINT(-93.235588 43.148451),17,CERRO GORDO,65,JIM BEAM BRANDS,19061,JIM BEAM MINI,12,50,5.4,8.1,1,8.1,0.05,0.01,1011200,STRAIGHT BOURBON WHISKIES,,62021
INV-37903900035,29/06/2021,5366,LIQUOR BEER & TOBACCO OUTLET,1908 CLARK ST,CHARLES CITY,50616,POINT(-92.661881 43.059134),34,FLOYD,619,CAMPARI AMERICA,22151,WILD TURKEY 101 MINI,12,50,12.45,18.68,1,18.68,0.05,0.01,1011200,STRAIGHT BOURBON WHISKIES,,62021
INV-37619700006,18/06/2021,5903,HOT SPOT FOOD AND LIQUOR / BURLINGTON,1618 OSBORN ST,BURLINGTON,52601,POINT(-91.112635 40.825513),29,DES MOINES,65,JIM BEAM BRANDS,27408,JIM BEAM HONEY MINI,12,50,5.4,8.1,1,8.1,0.05,0.01,1011200,STRAIGHT BOURBON WHISKIES,,62021
INV-37369000008,10/06/2021,2708,HY-VEE FAST AND FRESH - WINDSOR HEIGHTS,7220 HICKMAN RD,WINDSOR HEIGHTS,50324,POINT(-93.717442 41.614647),77,POLK,65,JIM BEAM BRANDS,27780,JIM BEAM APPLE MINI,12,50,5.4,8.1,1,8.1,0.05,0.01,1011200,STRAIGHT BOURBON WHISKIES,,62021
